Course Code,Course Name,Instructor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
MTH2xx,Number Theory,Anuradha Sharma,To be able to write down formal Mathematical proofs,To be able to explain elementary results on distributions of prime numbers,To be able to apply number-theoretic techniques to simply computations.,To be able to describe properties of some special number-theorectic functions and their growth rates,To be able to explain properties of numbers of some special forms,To be able to describe complete solutions of some special Diophantine equations and to be able to explain insolvability of some special non-linear Diophantine equations,To be able to explain the proof of Lagrange's four squares theorem,To be able to explain basic theory of partitions
HSS2ES,Key Concepts in Economic Sociology,Amrit Srinivasan(V),Students are able to read and comprehend and present on Key Concepts in social science material.,Students are able to make cross-disciplinary connections between the sphere of 'economics'۪ and social facts and to conceptualise the links between the Economy and Indian society in particular.,Students are able to imbibe a value-based; regulatory perspective as a corrective to the competitive self-interest and profit focus of the global economy today.,,,,,
HSS2xx,Introduction to Digital Ethnography,Shriram Venkatraman,This course will help learners appreciate the importance of small but thick data and will hence complement the big data analytics approach; thus enabling the learner to scale between choosing different research techniques in the long term.,Through an introduction to ethnographic case studies; the learner will be encouraged to apply and incorporate ideas of correlating significant but seemingly tiny clues to a larger canvas.,The learner would be able to apply basic Digital ethnographic research in a systematic format.,The learner will be able to present team work to an audience in a creative and easily accessible format.,,,,
HSS2xx,Introduction to Media In Society : A Public Sphere Approach,Aasim Khan,Students are introduced to the key theories of the press including the debate on 'public sphere'۪ and 'counter publics'۪; as well as the research fields of media'۪s 'agenda setting' and 'framing'۪,Students are introduced to the first Theme 1 of 'Media and globalisation'۪; taking up themes of environment; post-nationalism and migrations related case studies,Students are introduced to Theme 2: Media and Civic participation. Taking up three related themes of Citizen journalism; crowd sourcing and Hacktivism,,,,,
HSS2xx,Introduction to Social Informatics ,Venkata Ratnadeep Suri,Understand concepts in Social informatics,Identify dominant theories in social informatics,Understand how social and technologies mutually shape each other,Apply concepts and theories to analysis real world situations,Understand how policies often shape polices and rules around technology development deployment and use,,,
HSS223A,Introduction to Poetry,Saumya Kulshreshtha(G),Students are able to discuss the Sanskrit origins of poetry in India.,Students are able to discuss evolution of Hindi and Urdu along with the poetry (and literature in the two languages),Students are able to analyse Indian English poetry; its characteristics and major poets from this phase.,,,,,
ECE270,Embeded Logic Design,Sumit Darak,Students are able to design and implement combinational circuits on FPGA,Students are able to design and implement sequential circuits on FPGA,Students are able to write Verilog codes and testbenches to integrate on-board FPGA switches; leds; displays etc.,Students are able to explain the Zynq SoC architecture and its applications,,,,
ECE215,Circuit Theory and Devices,M S Hashmi,Students are be able to analyze moderately complex electrical circuits,Students are able to synthesize simple electrical circuits (RLCs).,Students are able to find circuit response using Laplace transform.,Students are able to explain signal superposition and Fourier transform.,Students are able to use industry standard SPICE tools for simple circuit analysis.,,,
MTH2xx,Discrete Mathematics,Rajiv Raman,Ability to understand and express ideas in a precise mathematical language.,Ability to come up with and write proofs via various proof techniques such as direct; contrapositive; contradiction; and induction.,Understand discrete structures such as graphs and basic combinatorial identities such as the binomial coefficients; the factorial function; etc. and their applications in counting discrete structures.,Be introduced to basic applications of discrete structures in computer science and mathematics.,,,,
CSE2xx,Computer Architecture and Operating Systems,Bijoy Chand Chaterjee(V),Ability to analyze the impact of computer architecture and OS policies on program execution and fine tune the program to run efficiently on a given system.,Ability to utilize the memory architecture and cache organization of the given computer architecture,Ability to understand fundamental principles and approaches behind process synchronizations; deadlock avoidance; memory management etc.,,,,,
